user,game,genre
hambinooo,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",
jasond984,'',
godisalwaysgreat,'',
xballad_of_beretsx,'',
devilbaa1,'',
canadope,'',
oskare2,'',
twelfth_hour,'',
pendriwow,'',
rikimaru184,'',
allegrolike,'',
tfrtyfftyrjj,'',
noobslayyyya89,'',
niiiiiiiinjaaaa,'',
say_hi_to_felix_for_me,'',
couldrin,'',
darkenemyzzz,'',
she_oof13,'',
alphaxmain,'',
rex_yt__,'',
dxrk1018,'',
ggirltv,'',
kostasadl,'',
chesslatte,'',
dtqjed,'',
anonanimalia,'',
drumbum12000,'',
aeonflowmusic,'',
squishypat,'',
yourinl,'',
beatsbmmusic,'',
dannyivey,'',
jimfromchicago_,'',
dennistysonpleinair,'',
ganldolfthegrey,'',
supranovans,'',
volpino09,'',
xposed_,'',
wogur505,'',
6deathmachine66,'',
testingthesenuts,'',
xhotline,'',
raiyuden,'',
moreladore,'',
robustesports,'',
extraamlg,'',
anonymousontwitter,'',
teemak,'',
manup_pew,'',
caboose38,'',
sprayingbricks,'',
kxnghiram0,'',
petepowerful,'',
xwushlegend,'',
robotboy6000,'',
noxleague,'',
salvation24,'',
nonaldo33,'',
jerkyg,'',
somekiller,'',
lewoforever,'',
asianbatkid,'',
scottish_vp,'',
intentionalglitch,'',
krazie888,'',
hl00r1,'',
taracake,'',
kgb79,'',
thestevoshow,'',
dogzgamer,'',
zugzwangpoker,'',
ruizobear,'',
momonv1985,'',
trophyyboyy,'',
natheism,'',
bmaine,'',
malukudoreggae,'',
ienjoyyourmom,'',
brunoeliasss,'',
harazardryuk,'',
zum_sz,'',
maikzaiacz,'',
th3us_cs,'',
tuliohbarros11,'',
babuen0,'',
deblackzila,'',
carloscleto,'',
thek1ngod,'',
rriqueti,'',
gabrielbolasantanna,'',
esquiloastrona,'',
rennegad0,'',
gusthavoad,'',
frooxzs,'',
ggzao,'',
magones,'',
feguga,'',
br_zika,'',
rickcsgo,'',
marcozz_,'',
lovl,'',
rafaeltan,'',
eduardo_pratchum,'',
8olinas,'',
guilhermepobiceps,'',
gonzaga,'',
scari0t,'',
krush88,'',
lchereml,'',
tukiller,'',
stadg,'',
littlesenpaipt,'',
irmao_do_feroiz4ever,'',
archmarley,'',
pjotaz,'',
de12deajacied,'',
tinyfalcon1826,'',
glutenfreebot,'',
mrsnrub85,'',
modtherealsedelaorriot,'',
chicogaming99,'',
spacelord89,'',
undertheradaradam,'',
owlkelp,'',
mardewhisky,'',
777goodgirl,'',
caroline5186,'',
zhoira,'',
schviftypop,'',
razuzz,'',
spanna3d,'',
johnstermash,'',
blazenjester,'',
gamerzjuice,'',
truescorpius,'',
