user,game,genre,hundreds,thousands,millions,followers,following
hahari,'',,False,False,False,237,77
ziazee,'Dark Souls III',action role-playing,False,False,False,4929,111
iknowyourgame,'Gaming Talk Shows',talk show,False,False,False,713,16
houseof3000,'Super Smash Bros. for Wii U',fighting,False,False,False,12884,4
chiefzlive,'Call of Duty: Black Ops 4',first-person shooter,False,False,False,8181,98
hyuukitv,'',,False,False,False,13,5
bo_white,'Dota 2',multiplayer  battle arena,False,False,False,15852,2
kirateachings,'',,False,False,False,7620,4
psyche,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",battle royale,False,False,False,7858,527
snoopypanther33,'Grand Theft Auto V',action-,False,False,False,4246,40
yabancioyuncu,'',,False,False,False,38604,59
rodrigol,'',,False,False,False,58320,118
muchapt,'',,False,False,False,12907,124
eligiblemonster,'Battlefield 4',first-person shooter,False,False,False,32965,16
infi5555,'',,False,False,False,2357,80
genreset,'',,False,False,False,4676,108
omerenda,'',,False,False,False,8,50
laurentheflute,'Dark Souls',role-playing,False,False,False,3053,212
gordox,'League of Legends',online,False,False,False,401154,24
arkhamteamtv2,'',,False,False,False,99,1
kjhovey,'Destiny',destiny,False,False,False,107581,135
pierxbl,'',,False,False,False,58842,183
carolina_reee,'',,False,False,False,28,24
meepeyplays,"""Tom Clancy's Rainbow Six: Siege""",tactical shooter,False,False,False,8320,111
worldofconsoles,'Titanfall',first-person shooter,False,False,False,699,8
kitbash3d,'',,False,False,False,3017,0
tuglow,'League of Legends',online,False,False,False,2069,198
hennerlive,'Grand Theft Auto V',action-,False,False,False,10760,1309
norththemage,'World of Warcraft',massively multiplayer  role-playing,False,False,False,1600,92
alvarezz10,'',,False,False,False,2024,60
myelin8,'',,False,False,False,9,11
worrun_tv,'Escape From Tarkov',first-person shooter,False,False,False,15442,181
reallysilent,'Call of Duty: Ghosts',first-person shooter,False,False,False,1206,23
grvs_sp,'',,False,False,False,7,3
verochka45,'',,False,False,False,4583,29
berkaymertt,'',,False,False,False,663,60
br0kentoe,'',,False,False,False,53,129
dippedinpoison,'',,False,False,False,1204,53
dib_gaming,'Hearthstone',collectible,False,False,False,855,173
remorce,"""Tom Clancy's Rainbow Six: Siege""",tactical shooter,False,False,False,26414,112
zandromina,'',,False,False,False,150,29
wooziworld,'',,False,False,False,13,12
inverum,'Heroes of the Storm',multiplayer,False,False,False,15805,116
steel_dash,'',,False,False,False,2,66
slickbee,'War Thunder',"action, vehicular combat, combat flight simulator",False,False,False,18667,55
puppey,'',,False,False,False,58581,1
christaborg,'Poker',poker,False,False,False,4644,107
dncbr,'World of Warcraft',massively multiplayer  role-playing,False,False,False,14252,81
megustatrooll,'League of Legends',multiplayer  battle arena,False,False,False,391,135
mvscdrqcdl,'',,False,False,False,2,22
arkoos_fr,'Fortnite',survival,False,False,False,2429,34
packs_pubg,'H1Z1: King of the Kill',battle royale,False,False,False,8250,177
lektronhs,'',,False,False,False,923,101
valenvain,'',,False,False,False,128,72
bartzer176,'World of Warcraft',massively multiplayer  role-playing,False,False,False,4705,38
crowlobot,'',,False,False,False,144,1
runonflat,'',,False,False,False,3288,185
ice_poseidon_,'',,False,False,False,4,2
tenergy5,'',,False,False,False,221,102
mrfiston,'',,False,False,False,457,29
silikonovayazina,'',,False,False,False,24232,98
nickmercs,'Fortnite',survival,False,False,False,2018030,46
doug_dias,'Tibia',tibia,False,False,False,7890,72
godinlegobet,'',,False,False,False,422,136
zimteuro,'World of Warcraft',massively multiplayer  role-playing,False,False,False,149,188
mobilus24,'',,False,False,False,59,60
n_eyman52,'',,False,False,False,2,75
lordkreeg,'God of War',adventure,False,False,False,1214,48
maxlore,'',,False,False,False,18832,156
neskwga,'',,False,False,False,75683,73
ultra_blastoise,'',,False,False,False,33,79
kimarbara,'',,False,False,False,162,33
larryzaur,'',,False,False,False,18464,59
jcbackfire,'',,False,False,False,5745,25
zai,'',,False,False,False,140163,67
yotobi,'',,False,False,False,195356,61
iky0suke,'',,False,False,False,355,24
