user,game,genre,hundreds,thousands,millions,followers,following,, ,\\u5200\\u5854\\u806f\\u76df,7 Days to Die,A Way Out,Age of Empires II: The Conquerors,Always On,Anno 2070,ArcheAge,Arena of Valor,ARK,Arma 3,ArmA III,Artifact,ASMR,Astroneer,Battleborn,Battlefield 1,Battlefield 3,Battlefield 4,Battlefield Hardline,Battlerite,Blackjack,Blue Dragon,Borderlands 2,Brink,Call of Duty: Black Ops,Call of Duty: Black Ops 4,Call of Duty: Black Ops II,Call of Duty: Black Ops III,Call of Duty: Ghosts,Call of Duty: Infinite Warfare,Call of Duty: Modern Warfare Remastered,Call of Duty: World at War: Zombies,Call of Duty: WWII,Casino,Chess,Claire,Clash of Clans,Clash Royale,Counter-Strike: Global Offensive,Creative,Crysis 3,Cuphead,Danganronpa Another Episode: Ultra Despair Girls,Danganronpa V3: Killing Harmony,Dark Souls,Dark Souls II,Dark Souls III,Darkest Dungeon,Darkwood,DayZ,DC Universe Online,Dead by Daylight,Deceit,Destiny,Destiny 2,Detroit: Become Human,Diablo II: Lord of Destruction,Diablo III,Diablo III: Reaper of Souls,Dota 2,Dota 2 ,Dovetail Games Euro Fishing,Dragon Age: Inquisition,DragonBall Xenoverse 2,Dungeons & Dragons,E3,E3 2017,E3 2018,Elder Scrolls Online,Escape From Tarkov,Euro Truck Simulator 2,Europa Universalis IV,Fallout 4,Fallout 76,Far Cry 5,Fibbage,FIFA 14,FIFA 15,FIFA 16,FIFA 17,FIFA 18,FIFA 19,FIFA Soccer 13,fifa14,Final Fantasy IV,Final Fantasy XII: The Zodiac Age,FINAL FANTASY XIV Online,Final Fantasy XV,Fire Emblem Echoes: Shadows of Valentia,Firewatch,For Honor,Fortnite,Friday the 13th: The Game,Games + Demos,Gamescom 2017,Gaming Talk Shows,Gears of War: Ultimate Edition,Geometry Dash,Goat Simulator,God of War,Grand Theft Auto V,Grand Theft Auto: San Andreas,Grand Theft Auto: Vice City,Graveyard Keeper,GTA Online,GTA5,Guild Wars 2,Guitar Hero III: Legends of Rock,Guitar Hero Live,Gwent: The Witcher Card Game,H1Z1,H1Z1: King of the Kill,Half-Life 2,Halo 4,Halo 5: Guardians,Hat Chat,Hearthstone,Hearthstone: Heroes of Warcraft,Heroes & Generals,Heroes of Newerth,Heroes of the Storm,Horizon Zero Dawn,I Wanna Be The Boshy,Infestation: Survivor Stories,Infinite Crisis,Injustice: Gods Among Us,IRL,Just Chatting,Just Dance 2016,Kartrider,Killer Instinct,Kingdom Hearts II,Knight Online,League of Legends,Loadout,Lords Mobile,Madden NFL 15,Madden NFL 16,Madden NFL 17,Madden NFL 25,Magic: The Gathering,Manual Samuel,Mario Party 3,Mass Effect 3,Mega Man X,Metal Gear Solid 4: Guns of the Patriots,Metal Gear Solid V: The Phantom Pain,Microsoft Flight Simulator X,Minecraft,Minecraft: Story Mode,Miscreated,MLB 14: The Show,Modern Warfare 2,Monster Hunter World,Mortal Kombat X,Music & Performing Arts,N/A,NBA 2K13,NBA 2K14,NBA 2K16,NBA 2K17,NBA 2K18,, ,\\u5200\\u5854\\u806f\\u76df,7 Days to Die,A Way Out,Age of Empires II: The Conquerors,Always On,Anno 2070,ArcheAge,Arena of Valor,ARK,Arma 3,ArmA III,Artifact,ASMR,Astroneer,Battleborn,Battlefield 1,Battlefield 3,Battlefield 4,Battlefield Hardline,Battlerite,Blackjack,Blue Dragon,Borderlands 2,Brink,Call of Duty: Black Ops,Call of Duty: Black Ops 4,Call of Duty: Black Ops II,Call of Duty: Black Ops III,Call of Duty: Ghosts,Call of Duty: Infinite Warfare,Call of Duty: Modern Warfare Remastered,Call of Duty: World at War: Zombies,Call of Duty: WWII,Casino,Chess,Claire,Clash of Clans,Clash Royale,Counter-Strike: Global Offensive,Creative,Crysis 3,Cuphead,Danganronpa Another Episode: Ultra Despair Girls,Danganronpa V3: Killing Harmony,Dark Souls,Dark Souls II,Dark Souls III,Darkest Dungeon,Darkwood,DayZ,DC Universe Online,Dead by Daylight,Deceit,Destiny,Destiny 2,Detroit: Become Human,Diablo II: Lord of Destruction,Diablo III,Diablo III: Reaper of Souls,Dota 2,Dota 2 ,Dovetail Games Euro Fishing,Dragon Age: Inquisition,DragonBall Xenoverse 2,Dungeons & Dragons,E3,E3 2017,E3 2018,Elder Scrolls Online,Escape From Tarkov,Euro Truck Simulator 2,Europa Universalis IV,Fallout 4,Fallout 76,Far Cry 5,Fibbage,FIFA 14,FIFA 15,FIFA 16,FIFA 17,FIFA 18,FIFA 19,FIFA Soccer 13,fifa14,Final Fantasy IV,Final Fantasy XII: The Zodiac Age,FINAL FANTASY XIV Online,Final Fantasy XV,Fire Emblem Echoes: Shadows of Valentia,Firewatch,For Honor,Fortnite,Friday the 13th: The Game,Games + Demos,Gamescom 2017,Gaming Talk Shows,Gears of War: Ultimate Edition,Geometry Dash,Goat Simulator,God of War,Grand Theft Auto V,Grand Theft Auto: San Andreas,Grand Theft Auto: Vice City,Graveyard Keeper,GTA Online,GTA5,Guild Wars 2,Guitar Hero III: Legends of Rock,Guitar Hero Live,Gwent: The Witcher Card Game,H1Z1,H1Z1: King of the Kill,Half-Life 2,Halo 4,Halo 5: Guardians,Hat Chat,Hearthstone,Hearthstone: Heroes of Warcraft,Heroes & Generals,Heroes of Newerth,Heroes of the Storm,Horizon Zero Dawn,I Wanna Be The Boshy,Infestation: Survivor Stories,Infinite Crisis,Injustice: Gods Among Us,IRL,Just Chatting,Just Dance 2016,Kartrider,Killer Instinct,Kingdom Hearts II,Knight Online,League of Legends,Loadout,Lords Mobile,Madden NFL 15,Madden NFL 16,Madden NFL 17,Madden NFL 25,Magic: The Gathering,Manual Samuel,Mario Party 3,Mass Effect 3,Mega Man X,Metal Gear Solid 4: Guns of the Patriots,Metal Gear Solid V: The Phantom Pain,Microsoft Flight Simulator X,Minecraft,Minecraft: Story Mode,Miscreated,MLB 14: The Show,Modern Warfare 2,Monster Hunter World,Mortal Kombat X,Music & Performing Arts,N/A,NBA 2K13,NBA 2K14,NBA 2K16,NBA 2K17,NBA 2K18
battlerite,'Battlerite',battle arena,False,False,False,257467,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silphtv,'',,False,False,False,177347,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
northernlion,'The Binding of Isaac: Afterbirth',action role-playing,False,False,False,306061,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lck_korea,'',,False,False,False,195461,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grafo,'League of Legends',online,False,False,False,190978,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netenho1,'Point Blank',,False,False,False,204588,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amaz,'Hearthstone: Heroes of Warcraft',card game,False,False,False,894833,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muselk,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",battle royale,False,False,False,336194,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syndicate,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",battle royale,False,False,False,2673830,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immarksman,'Fortnite',first-person shooter,False,False,False,435792,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
